name,label,code
CWE401_Memory_Leak__char_calloc_01_bad,1,void CWE401_Memory_Leak__char_calloc_01_bad() {     char * data;     data = NULL;     /* POTENTIAL FLAW: Allocate memory on the heap */     data = (char *)calloc(100; sizeof(char));     if (data == NULL) {exit(-1);}     /* Initialize and make use of data */     strcpy(data; "A String");     printLine(data);     /* POTENTIAL FLAW: No deallocation */     ; /* empty statement needed for some flow variants */ }
goodG2B,0,static void goodG2B() {     char * data;     data = NULL;     /* FIX: Use memory allocated on the stack with ALLOCA */     data = (char *)ALLOCA(100*sizeof(char));     /* Initialize and make use of data */     strcpy(data; "A String");     printLine(data);     /* POTENTIAL FLAW: No deallocation */     ; /* empty statement needed for some flow variants */ }
goodB2G,0,static void goodB2G() {     char * data;     data = NULL;     /* POTENTIAL FLAW: Allocate memory on the heap */     data = (char *)calloc(100; sizeof(char));     if (data == NULL) {exit(-1);}     /* Initialize and make use of data */     strcpy(data; "A String");     printLine(data);     /* FIX: Deallocate memory */     free(data); }
CWE401_Memory_Leak__char_calloc_01_good,0,void CWE401_Memory_Leak__char_calloc_01_good() {     goodG2B();     goodB2G(); }
CWE401_Memory_Leak__char_calloc_02_bad,1,void CWE401_Memory_Leak__char_calloc_02_bad() {     char * data;     data = NULL;     if(1)     {         /* POTENTIAL FLAW: Allocate memory on the heap */         data = (char *)calloc(100; sizeof(char));         if (data == NULL) {exit(-1);}         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(1)     {         /* POTENTIAL FLAW: No deallocation */         ; /* empty statement needed for some flow variants */     } }
goodB2G1,0,static void goodB2G1() {     char * data;     data = NULL;     if(1)     {         /* POTENTIAL FLAW: Allocate memory on the heap */         data = (char *)calloc(100; sizeof(char));         if (data == NULL) {exit(-1);}         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(0)     {         /* INCIDENTAL: CWE 561 Dead Code; the code below will never run */         printLine("Benign; fixed string");     }     else     {         /* FIX: Deallocate memory */         free(data);     } }
goodB2G2,0,static void goodB2G2() {     char * data;     data = NULL;     if(1)     {         /* POTENTIAL FLAW: Allocate memory on the heap */         data = (char *)calloc(100; sizeof(char));         if (data == NULL) {exit(-1);}         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(1)     {         /* FIX: Deallocate memory */         free(data);     } }
goodG2B1,0,static void goodG2B1() {     char * data;     data = NULL;     if(0)     {         /* INCIDENTAL: CWE 561 Dead Code; the code below will never run */         printLine("Benign; fixed string");     }     else     {         /* FIX: Use memory allocated on the stack with ALLOCA */         data = (char *)ALLOCA(100*sizeof(char));         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(1)     {         /* POTENTIAL FLAW: No deallocation */         ; /* empty statement needed for some flow variants */     } }
goodG2B2,0,static void goodG2B2() {     char * data;     data = NULL;     if(1)     {         /* FIX: Use memory allocated on the stack with ALLOCA */         data = (char *)ALLOCA(100*sizeof(char));         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(1)     {         /* POTENTIAL FLAW: No deallocation */         ; /* empty statement needed for some flow variants */     } }
CWE401_Memory_Leak__char_calloc_02_good,0,void CWE401_Memory_Leak__char_calloc_02_good() {     goodB2G1();     goodB2G2();     goodG2B1();     goodG2B2(); }
CWE401_Memory_Leak__char_calloc_03_bad,1,void CWE401_Memory_Leak__char_calloc_03_bad() {     char * data;     data = NULL;     if(5==5)     {         /* POTENTIAL FLAW: Allocate memory on the heap */         data = (char *)calloc(100; sizeof(char));         if (data == NULL) {exit(-1);}         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(5==5)     {         /* POTENTIAL FLAW: No deallocation */         ; /* empty statement needed for some flow variants */     } }
goodB2G1,0,static void goodB2G1() {     char * data;     data = NULL;     if(5==5)     {         /* POTENTIAL FLAW: Allocate memory on the heap */         data = (char *)calloc(100; sizeof(char));         if (data == NULL) {exit(-1);}         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(5!=5)     {         /* INCIDENTAL: CWE 561 Dead Code; the code below will never run */         printLine("Benign; fixed string");     }     else     {         /* FIX: Deallocate memory */         free(data);     } }
goodB2G2,0,static void goodB2G2() {     char * data;     data = NULL;     if(5==5)     {         /* POTENTIAL FLAW: Allocate memory on the heap */         data = (char *)calloc(100; sizeof(char));         if (data == NULL) {exit(-1);}         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(5==5)     {         /* FIX: Deallocate memory */         free(data);     } }
goodG2B1,0,static void goodG2B1() {     char * data;     data = NULL;     if(5!=5)     {         /* INCIDENTAL: CWE 561 Dead Code; the code below will never run */         printLine("Benign; fixed string");     }     else     {         /* FIX: Use memory allocated on the stack with ALLOCA */         data = (char *)ALLOCA(100*sizeof(char));         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(5==5)     {         /* POTENTIAL FLAW: No deallocation */         ; /* empty statement needed for some flow variants */     } }
goodG2B2,0,static void goodG2B2() {     char * data;     data = NULL;     if(5==5)     {         /* FIX: Use memory allocated on the stack with ALLOCA */         data = (char *)ALLOCA(100*sizeof(char));         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(5==5)     {         /* POTENTIAL FLAW: No deallocation */         ; /* empty statement needed for some flow variants */     } }
CWE401_Memory_Leak__char_calloc_03_good,0,void CWE401_Memory_Leak__char_calloc_03_good() {     goodB2G1();     goodB2G2();     goodG2B1();     goodG2B2(); }
CWE401_Memory_Leak__char_calloc_04_bad,1,void CWE401_Memory_Leak__char_calloc_04_bad() {     char * data;     data = NULL;     if(STATIC_CONST_TRUE)     {         /* POTENTIAL FLAW: Allocate memory on the heap */         data = (char *)calloc(100; sizeof(char));         if (data == NULL) {exit(-1);}         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(STATIC_CONST_TRUE)     {         /* POTENTIAL FLAW: No deallocation */         ; /* empty statement needed for some flow variants */     } }
goodB2G1,0,static void goodB2G1() {     char * data;     data = NULL;     if(STATIC_CONST_TRUE)     {         /* POTENTIAL FLAW: Allocate memory on the heap */         data = (char *)calloc(100; sizeof(char));         if (data == NULL) {exit(-1);}         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(STATIC_CONST_FALSE)     {         /* INCIDENTAL: CWE 561 Dead Code; the code below will never run */         printLine("Benign; fixed string");     }     else     {         /* FIX: Deallocate memory */         free(data);     } }
goodB2G2,0,static void goodB2G2() {     char * data;     data = NULL;     if(STATIC_CONST_TRUE)     {         /* POTENTIAL FLAW: Allocate memory on the heap */         data = (char *)calloc(100; sizeof(char));         if (data == NULL) {exit(-1);}         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(STATIC_CONST_TRUE)     {         /* FIX: Deallocate memory */         free(data);     } }
goodG2B1,0,static void goodG2B1() {     char * data;     data = NULL;     if(STATIC_CONST_FALSE)     {         /* INCIDENTAL: CWE 561 Dead Code; the code below will never run */         printLine("Benign; fixed string");     }     else     {         /* FIX: Use memory allocated on the stack with ALLOCA */         data = (char *)ALLOCA(100*sizeof(char));         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(STATIC_CONST_TRUE)     {         /* POTENTIAL FLAW: No deallocation */         ; /* empty statement needed for some flow variants */     } }
goodG2B2,0,static void goodG2B2() {     char * data;     data = NULL;     if(STATIC_CONST_TRUE)     {         /* FIX: Use memory allocated on the stack with ALLOCA */         data = (char *)ALLOCA(100*sizeof(char));         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(STATIC_CONST_TRUE)     {         /* POTENTIAL FLAW: No deallocation */         ; /* empty statement needed for some flow variants */     } }
CWE401_Memory_Leak__char_calloc_04_good,0,void CWE401_Memory_Leak__char_calloc_04_good() {     goodB2G1();     goodB2G2();     goodG2B1();     goodG2B2(); }
CWE401_Memory_Leak__char_calloc_05_bad,1,void CWE401_Memory_Leak__char_calloc_05_bad() {     char * data;     data = NULL;     if(staticTrue)     {         /* POTENTIAL FLAW: Allocate memory on the heap */         data = (char *)calloc(100; sizeof(char));         if (data == NULL) {exit(-1);}         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(staticTrue)     {         /* POTENTIAL FLAW: No deallocation */         ; /* empty statement needed for some flow variants */     } }
goodB2G1,0,static void goodB2G1() {     char * data;     data = NULL;     if(staticTrue)     {         /* POTENTIAL FLAW: Allocate memory on the heap */         data = (char *)calloc(100; sizeof(char));         if (data == NULL) {exit(-1);}         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(staticFalse)     {         /* INCIDENTAL: CWE 561 Dead Code; the code below will never run */         printLine("Benign; fixed string");     }     else     {         /* FIX: Deallocate memory */         free(data);     } }
goodB2G2,0,static void goodB2G2() {     char * data;     data = NULL;     if(staticTrue)     {         /* POTENTIAL FLAW: Allocate memory on the heap */         data = (char *)calloc(100; sizeof(char));         if (data == NULL) {exit(-1);}         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(staticTrue)     {         /* FIX: Deallocate memory */         free(data);     } }
goodG2B1,0,static void goodG2B1() {     char * data;     data = NULL;     if(staticFalse)     {         /* INCIDENTAL: CWE 561 Dead Code; the code below will never run */         printLine("Benign; fixed string");     }     else     {         /* FIX: Use memory allocated on the stack with ALLOCA */         data = (char *)ALLOCA(100*sizeof(char));         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(staticTrue)     {         /* POTENTIAL FLAW: No deallocation */         ; /* empty statement needed for some flow variants */     } }
goodG2B2,0,static void goodG2B2() {     char * data;     data = NULL;     if(staticTrue)     {         /* FIX: Use memory allocated on the stack with ALLOCA */         data = (char *)ALLOCA(100*sizeof(char));         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(staticTrue)     {         /* POTENTIAL FLAW: No deallocation */         ; /* empty statement needed for some flow variants */     } }
CWE401_Memory_Leak__char_calloc_05_good,0,void CWE401_Memory_Leak__char_calloc_05_good() {     goodB2G1();     goodB2G2();     goodG2B1();     goodG2B2(); }
CWE401_Memory_Leak__char_calloc_06_bad,1,void CWE401_Memory_Leak__char_calloc_06_bad() {     char * data;     data = NULL;     if(STATIC_CONST_FIVE==5)     {         /* POTENTIAL FLAW: Allocate memory on the heap */         data = (char *)calloc(100; sizeof(char));         if (data == NULL) {exit(-1);}         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(STATIC_CONST_FIVE==5)     {         /* POTENTIAL FLAW: No deallocation */         ; /* empty statement needed for some flow variants */     } }
goodB2G1,0,static void goodB2G1() {     char * data;     data = NULL;     if(STATIC_CONST_FIVE==5)     {         /* POTENTIAL FLAW: Allocate memory on the heap */         data = (char *)calloc(100; sizeof(char));         if (data == NULL) {exit(-1);}         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(STATIC_CONST_FIVE!=5)     {         /* INCIDENTAL: CWE 561 Dead Code; the code below will never run */         printLine("Benign; fixed string");     }     else     {         /* FIX: Deallocate memory */         free(data);     } }
goodB2G2,0,static void goodB2G2() {     char * data;     data = NULL;     if(STATIC_CONST_FIVE==5)     {         /* POTENTIAL FLAW: Allocate memory on the heap */         data = (char *)calloc(100; sizeof(char));         if (data == NULL) {exit(-1);}         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(STATIC_CONST_FIVE==5)     {         /* FIX: Deallocate memory */         free(data);     } }
goodG2B1,0,static void goodG2B1() {     char * data;     data = NULL;     if(STATIC_CONST_FIVE!=5)     {         /* INCIDENTAL: CWE 561 Dead Code; the code below will never run */         printLine("Benign; fixed string");     }     else     {         /* FIX: Use memory allocated on the stack with ALLOCA */         data = (char *)ALLOCA(100*sizeof(char));         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(STATIC_CONST_FIVE==5)     {         /* POTENTIAL FLAW: No deallocation */         ; /* empty statement needed for some flow variants */     } }
goodG2B2,0,static void goodG2B2() {     char * data;     data = NULL;     if(STATIC_CONST_FIVE==5)     {         /* FIX: Use memory allocated on the stack with ALLOCA */         data = (char *)ALLOCA(100*sizeof(char));         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(STATIC_CONST_FIVE==5)     {         /* POTENTIAL FLAW: No deallocation */         ; /* empty statement needed for some flow variants */     } }
CWE401_Memory_Leak__char_calloc_06_good,0,void CWE401_Memory_Leak__char_calloc_06_good() {     goodB2G1();     goodB2G2();     goodG2B1();     goodG2B2(); }
CWE401_Memory_Leak__char_calloc_07_bad,1,void CWE401_Memory_Leak__char_calloc_07_bad() {     char * data;     data = NULL;     if(staticFive==5)     {         /* POTENTIAL FLAW: Allocate memory on the heap */         data = (char *)calloc(100; sizeof(char));         if (data == NULL) {exit(-1);}         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(staticFive==5)     {         /* POTENTIAL FLAW: No deallocation */         ; /* empty statement needed for some flow variants */     } }
goodB2G1,0,static void goodB2G1() {     char * data;     data = NULL;     if(staticFive==5)     {         /* POTENTIAL FLAW: Allocate memory on the heap */         data = (char *)calloc(100; sizeof(char));         if (data == NULL) {exit(-1);}         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(staticFive!=5)     {         /* INCIDENTAL: CWE 561 Dead Code; the code below will never run */         printLine("Benign; fixed string");     }     else     {         /* FIX: Deallocate memory */         free(data);     } }
goodB2G2,0,static void goodB2G2() {     char * data;     data = NULL;     if(staticFive==5)     {         /* POTENTIAL FLAW: Allocate memory on the heap */         data = (char *)calloc(100; sizeof(char));         if (data == NULL) {exit(-1);}         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(staticFive==5)     {         /* FIX: Deallocate memory */         free(data);     } }
goodG2B1,0,static void goodG2B1() {     char * data;     data = NULL;     if(staticFive!=5)     {         /* INCIDENTAL: CWE 561 Dead Code; the code below will never run */         printLine("Benign; fixed string");     }     else     {         /* FIX: Use memory allocated on the stack with ALLOCA */         data = (char *)ALLOCA(100*sizeof(char));         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(staticFive==5)     {         /* POTENTIAL FLAW: No deallocation */         ; /* empty statement needed for some flow variants */     } }
goodG2B2,0,static void goodG2B2() {     char * data;     data = NULL;     if(staticFive==5)     {         /* FIX: Use memory allocated on the stack with ALLOCA */         data = (char *)ALLOCA(100*sizeof(char));         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(staticFive==5)     {         /* POTENTIAL FLAW: No deallocation */         ; /* empty statement needed for some flow variants */     } }
CWE401_Memory_Leak__char_calloc_07_good,0,void CWE401_Memory_Leak__char_calloc_07_good() {     goodB2G1();     goodB2G2();     goodG2B1();     goodG2B2(); }
CWE401_Memory_Leak__char_calloc_08_bad,1,void CWE401_Memory_Leak__char_calloc_08_bad() {     char * data;     data = NULL;     if(staticReturnsTrue())     {         /* POTENTIAL FLAW: Allocate memory on the heap */         data = (char *)calloc(100; sizeof(char));         if (data == NULL) {exit(-1);}         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(staticReturnsTrue())     {         /* POTENTIAL FLAW: No deallocation */         ; /* empty statement needed for some flow variants */     } }
goodB2G1,0,static void goodB2G1() {     char * data;     data = NULL;     if(staticReturnsTrue())     {         /* POTENTIAL FLAW: Allocate memory on the heap */         data = (char *)calloc(100; sizeof(char));         if (data == NULL) {exit(-1);}         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(staticReturnsFalse())     {         /* INCIDENTAL: CWE 561 Dead Code; the code below will never run */         printLine("Benign; fixed string");     }     else     {         /* FIX: Deallocate memory */         free(data);     } }
goodB2G2,0,static void goodB2G2() {     char * data;     data = NULL;     if(staticReturnsTrue())     {         /* POTENTIAL FLAW: Allocate memory on the heap */         data = (char *)calloc(100; sizeof(char));         if (data == NULL) {exit(-1);}         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(staticReturnsTrue())     {         /* FIX: Deallocate memory */         free(data);     } }
goodG2B1,0,static void goodG2B1() {     char * data;     data = NULL;     if(staticReturnsFalse())     {         /* INCIDENTAL: CWE 561 Dead Code; the code below will never run */         printLine("Benign; fixed string");     }     else     {         /* FIX: Use memory allocated on the stack with ALLOCA */         data = (char *)ALLOCA(100*sizeof(char));         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(staticReturnsTrue())     {         /* POTENTIAL FLAW: No deallocation */         ; /* empty statement needed for some flow variants */     } }
goodG2B2,0,static void goodG2B2() {     char * data;     data = NULL;     if(staticReturnsTrue())     {         /* FIX: Use memory allocated on the stack with ALLOCA */         data = (char *)ALLOCA(100*sizeof(char));         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(staticReturnsTrue())     {         /* POTENTIAL FLAW: No deallocation */         ; /* empty statement needed for some flow variants */     } }
CWE401_Memory_Leak__char_calloc_08_good,0,void CWE401_Memory_Leak__char_calloc_08_good() {     goodB2G1();     goodB2G2();     goodG2B1();     goodG2B2(); }
CWE401_Memory_Leak__char_calloc_09_bad,1,void CWE401_Memory_Leak__char_calloc_09_bad() {     char * data;     data = NULL;     if(GLOBAL_CONST_TRUE)     {         /* POTENTIAL FLAW: Allocate memory on the heap */         data = (char *)calloc(100; sizeof(char));         if (data == NULL) {exit(-1);}         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(GLOBAL_CONST_TRUE)     {         /* POTENTIAL FLAW: No deallocation */         ; /* empty statement needed for some flow variants */     } }
goodB2G1,0,static void goodB2G1() {     char * data;     data = NULL;     if(GLOBAL_CONST_TRUE)     {         /* POTENTIAL FLAW: Allocate memory on the heap */         data = (char *)calloc(100; sizeof(char));         if (data == NULL) {exit(-1);}         /* Initialize and make use of data */         strcpy(data; "A String");         printLine(data);     }     if(GLOBAL_CONST_FALSE)     {         /* INCIDENTAL: CWE 561 Dead Code; the code below will never run */         printLine("Benign; fixed string");     }     else     {         /* FIX: Deallocate memory */         free(data);     } }
